LINK,ID da resposta,Data de envio,Última página,Idioma inicial,Semente,Código de Acesso,Data de início,Data da última ação,GENERO,IDADE,RENDA,ESCOLARIDADE,COMP/CEL,TEM INSTA?,Com qual frequência acessa o aplicativo? [Eventualmente],Com qual frequência acessa o aplicativo? [Até 1 vez por semana],Com qual frequência acessa o aplicativo? [Mais de uma vez por semana],Com qual frequência acessa o aplicativo? [Pelo menos uma vez por dia],Com qual frequência acessa o aplicativo? [Mais de uma vez por dia],"Você segue algum perfil de espaço cultural (Ex.: Teatro, Cinema, Casa de Show, Museu, Galeria de Arte, etc...) no Instagram?","Se você segue algum perfil de espaço cultural no Instagram, por favor, se puder, insira aqui o nome do perfil que considera acompanhar com maior frequência.",CON1,CON2,CON3,CON4,CON5,CON6,CON7,INT1,INT2,INT3,INT4,INF1,INF2,INF3,INF4,INF5,INF6,INF7,INC1,INC2,INC3,INC4,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ENG7,ENG8,ENG9,ENG10,ENT1,ENT2,ENT3,ENT4,COM1,COM2,COM3,CONF1,CONF2,CONF3,CONF4,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,ENV9,ENV10,0
INT,968,2021-06-22 13:13:24,7,pt-BR,1415431406,szTOyGcpt8UKZ6Y,2021-06-22 13:09:07,2021-06-22 13:13:24,Feminino,48,Acima de 15 e até 20 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2
INT,511,2021-06-20 11:59:20,7,pt-BR,1514481157,Re8rcjQDuPykzjg,2021-06-20 11:52:40,2021-06-20 11:59:20,,22,Até 1 salário mínimo,Ensino Médio,Celular,Sim,Não,Não,Não,Sim,Não,Sim,"Casa da barra, gap, gaeu, oa galeria, cine metropolis,",4,4,4,4,4,4,6,4,4,4,4,5,7,5,5,6,6,5,4,3,6,4,4,5,5,4,4,3,5,4,4,6,4,6,5,4,5,4,5,5,2,7,6,7,6,7,6,7,6,7,7,6,7,0
INT,766,2021-06-21 07:55:05,7,pt-BR,182371581,cAVTRPn9Gs0XRYp,2021-06-21 07:47:20,2021-06-21 07:55:05,Feminino,22,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,4,4,4,5,4,3,4,4,2,3,6,5,4,4,4,4,4,2,3,4,2,4,3,7,5,5,5,4,4,4,2,3,4,5,5,3,4,2,6,3,5,5,5,5,6,4,3,4,5,6,4,6,2
INT,927,2021-06-21 20:18:27,7,pt-BR,1348416260,eCU5ZGp4nm2ecPE,2021-06-21 20:06:34,2021-06-21 20:18:27,Feminino,48,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Sim,Não,Não,Sim,icedbrasil,4,4,4,4,6,5,5,4,4,4,4,7,4,6,6,6,6,3,3,2,1,4,4,6,6,6,6,6,6,4,6,6,6,6,6,6,4,6,6,6,6,6,6,6,7,7,6,5,6,5,6,6,6,1
INT,773,2021-06-21 08:20:46,7,pt-BR,359746374,nJpRRCNZKYRdKrV,2021-06-21 08:11:49,2021-06-21 08:20:46,Feminino,595959,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,Espaço Cultural Catete,4,4,5,1,1,3,5,2,3,3,4,5,2,4,1,3,2,5,1,1,1,2,1,1,1,2,1,2,1,1,2,3,3,3,4,5,1,2,2,3,3,5,4,4,4,4,4,5,5,4,4,4,4,4
INT,182,2021-06-18 16:11:25,7,pt-BR,612662540,8Vryv3q0G5zLwJe,2021-06-18 16:03:10,2021-06-18 16:11:25,Masculino,48,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,#culturaespirita,4,4,5,1,3,5,4,4,4,4,2,6,1,6,1,5,6,1,1,1,1,1,3,3,6,6,4,6,6,1,5,6,6,6,4,6,4,5,6,7,6,7,6,7,7,7,5,6,6,7,7,6,7,1
INT,531,2021-06-20 13:13:16,7,pt-BR,1888385105,5mpJLyX0KfGGet6,2021-06-20 12:49:37,2021-06-20 13:13:16,Masculino,23,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Van Gogh Museum,4,4,5,3,6,4,5,1,4,2,3,7,2,4,7,3,5,3,1,1,1,1,2,2,6,5,5,5,4,2,5,2,5,6,6,5,1,5,4,6,1,6,7,7,7,7,7,6,7,7,7,7,7,3
EXT,125,2021-05-20 18:23:39,7,pt-BR,982108288,2021-05-20 18:13:30,2021-05-20 18:23:39,,Feminino,41,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Gap, gaeu, sesc",4,4,6,1,4,4,4,4,4,4,4,6,6,6,4,6,4,5,1,1,1,1,1,1,5,2,1,1,4,2,2,1,2,4,4,3,4,4,3,6,1,7,7,5,6,7,4,5,5,4,5,5,5,4
INT,323,2021-06-19 16:37:18,7,pt-BR,788531925,Tpk331BfsQrDey7,2021-06-19 16:19:39,2021-06-19 16:37:18,Masculino,57,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Casa do choro,4,4,6,3,2,4,7,3,3,3,6,5,2,3,3,2,4,4,6,2,2,3,6,4,6,6,7,6,5,7,6,5,7,6,6,7,5,2,2,6,6,6,6,4,6,4,6,6,6,6,6,6,4,0
INT,158,2021-06-18 14:16:43,7,pt-BR,1058755682,Fz9BCsstSxmzeDL,2021-06-18 14:06:41,2021-06-18 14:16:43,Masculino,49,Acima de 20 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Emusp,4,4,7,1,7,4,4,4,4,4,4,7,7,7,4,4,1,7,1,1,1,1,7,7,4,7,7,7,7,4,7,5,4,7,4,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
EXT,173,2021-05-22 15:30:55,7,pt-BR,925898826,2021-05-22 15:23:56,2021-05-22 15:30:55,,Feminino,52,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,4,5,2,3,4,4,4,5,4,2,2,7,7,7,7,5,5,7,1,1,1,1,3,1,5,4,4,6,5,3,3,3,4,5,4,1,1,3,3,7,5,7,7,7,7,7,5,5,5,5,7,5,7,3
INT,266,2021-06-19 09:57:59,7,pt-BR,477403689,eg7eaizRYVFOgrE,2021-06-19 09:51:15,2021-06-19 09:57:59,Feminino,42,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Sim,Não,Não,Sim,obra de artes famosas,4,5,3,2,5,3,5,5,5,5,5,4,4,4,5,4,4,4,3,5,3,3,3,3,4,3,4,4,2,2,3,3,3,4,4,3,2,3,3,4,3,5,4,5,5,5,5,4,5,4,5,5,4,2
