LINK,ID da resposta,Data de envio,Última página,Idioma inicial,Semente,Código de Acesso,Data de início,Data da última ação,GENERO,IDADE,RENDA,ESCOLARIDADE,COMP/CEL,TEM INSTA?,Com qual frequência acessa o aplicativo? [Eventualmente],Com qual frequência acessa o aplicativo? [Até 1 vez por semana],Com qual frequência acessa o aplicativo? [Mais de uma vez por semana],Com qual frequência acessa o aplicativo? [Pelo menos uma vez por dia],Com qual frequência acessa o aplicativo? [Mais de uma vez por dia],"Você segue algum perfil de espaço cultural (Ex.: Teatro, Cinema, Casa de Show, Museu, Galeria de Arte, etc...) no Instagram?","Se você segue algum perfil de espaço cultural no Instagram, por favor, se puder, insira aqui o nome do perfil que considera acompanhar com maior frequência.",CON1,CON2,CON3,CON4,CON5,CON6,CON7,INT1,INT2,INT3,INT4,INF1,INF2,INF3,INF4,INF5,INF6,INF7,INC1,INC2,INC3,INC4,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ENG7,ENG8,ENG9,ENG10,ENT1,ENT2,ENT3,ENT4,COM1,COM2,COM3,CONF1,CONF2,CONF3,CONF4,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,ENV9,ENV10,0
INT,432,2021-06-20 06:31:49,7,pt-BR,1257488148,neNUeUZz3TYlxJL,2021-06-20 06:26:29,2021-06-20 06:31:49,Feminino,36,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,5,5,4,5,4,5,6,5,7,6,3,4,3,3,4,6,4,3,4,4,4,4,2,2,6,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,3,5,5,2,4,5,5,3,5,2,2,5,2,2
INT,233,2021-06-18 22:13:49,7,pt-BR,1252887566,7h6nyLT2Iv6FzTW,2021-06-18 22:02:14,2021-06-18 22:13:49,Masculino,27,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,@masp; @iphangovbr; @historia.capixaba,5,5,5,1,3,5,7,5,1,1,1,7,7,7,2,7,6,7,1,1,1,2,1,2,3,6,7,7,3,3,7,7,7,5,7,7,3,7,2,7,1,7,7,7,7,7,4,7,4,7,7,7,7,1
INT,656,2021-06-20 19:13:08,7,pt-BR,1714087571,js09AQzbzpfoPWQ,2021-06-20 19:08:50,2021-06-20 19:13:08,Masculino,18,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,@musselouvre,5,5,5,1,5,5,5,5,5,4,4,7,5,7,3,4,4,5,6,1,1,1,5,2,4,3,6,6,3,5,6,3,5,6,5,3,4,3,1,7,4,7,4,6,5,7,7,7,6,7,7,7,7,1
EXT,136,2021-05-20 21:02:06,7,pt-BR,774268077,2021-05-20 20:45:07,2021-05-20 21:02:06,,,29,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Itaú Cultural, Oswald de Andrade, SP Escola de Teatro, etc.",5,5,5,2,4,5,5,4,4,4,5,7,7,5,5,6,4,7,2,2,1,2,5,4,5,4,4,4,4,3,5,4,4,4,5,4,4,4,4,4,4,4,4,7,6,7,5,5,5,5,7,5,7,1
EXT,36,2021-05-14 08:38:08,7,pt-BR,256077859,2021-05-14 08:25:09,2021-05-14 08:38:08,,Feminino,37,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Mam.rio, educamuseu, arquivo nacional, arquivo público público do estado de são Paulo, arquivo público RJ, museu da República, museu da maré, museu das remoções",5,5,5,3,4,5,5,5,5,5,4,6,4,5,6,6,5,5,2,2,2,3,5,2,5,5,4,5,4,3,5,4,4,4,4,5,2,4,4,6,3,6,6,6,5,6,5,5,5,4,6,4,6,0
INT,407,2021-06-19 23:47:53,7,pt-BR,331267894,ZLQaTtO9kcX4nxo,2021-06-19 23:38:32,2021-06-19 23:47:53,Feminino,22,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,5,5,5,4,4,5,4,5,5,6,4,4,3,3,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,5,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2
INT,591,2021-06-20 16:01:41,7,pt-BR,667957893,1yxFMoqKAaaxdre,2021-06-20 15:52:13,2021-06-20 16:01:41,Feminino,60,Acima de 1 e até 3 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,,5,5,5,4,5,5,5,5,4,4,4,6,6,6,3,4,5,6,4,1,2,4,4,4,6,6,5,6,6,4,5,5,6,4,5,2,5,6,5,6,4,6,6,6,6,6,6,6,6,6,6,6,6,1
INT,662,2021-06-20 19:31:09,7,pt-BR,368041236,Jo8puPVanmuNSdc,2021-06-20 19:23:01,2021-06-20 19:31:09,Feminino,19,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Camerata SESI,5,5,5,4,7,1,7,7,7,7,7,7,7,7,2,7,5,7,1,7,5,1,6,4,3,7,7,7,7,1,4,4,7,7,2,7,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,938,2021-06-21 21:40:13,7,pt-BR,1631495850,tKuiyFzRHuJnua9,2021-06-21 21:36:28,2021-06-21 21:40:13,Masculino,20,Acima de 3 e até 5 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,5,5,5,5,5,5,5,5,5,5,5,4,3,5,4,2,2,5,2,3,4,5,4,2,4,5,4,4,3,3,2,5,6,6,5,5,6,4,4,5,2,5,5,5,5,5,3,5,5,5,5,3,4,0
INT,197,2021-06-18 18:24:00,7,pt-BR,914329297,mVx6QRGVyezkgYF,2021-06-18 18:08:47,2021-06-18 18:24:00,Masculino,29,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,,5,5,5,5,5,5,5,5,5,5,5,6,7,7,5,7,6,7,1,2,1,2,5,7,7,7,7,7,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,7,2021-04-13 16:17:30,7,pt-BR,664427884,1FwTzH3VbgZTckK,2021-04-13 16:07:10,2021-04-13 16:17:30,Masculino,30,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Teatro da Ufes, Gaeu, Masp, CCBB.",5,5,5,6,6,6,6,4,4,2,5,7,2,5,5,6,2,4,1,1,1,1,7,5,6,5,5,4,5,3,4,4,5,1,2,4,2,4,2,6,4,7,7,3,2,6,4,2,2,2,3,4,5,2
INT,1039,2021-06-29 12:01:45,7,pt-BR,1844332385,0V5ara4AWuRn0WY,2021-06-29 11:55:14,2021-06-29 12:01:45,Feminino,27,Acima de 1 e até 3 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Cine Jardins,5,5,6,2,4,4,5,5,4,2,6,6,6,5,3,5,4,4,2,6,5,4,2,2,4,6,5,4,4,3,2,3,4,4,4,5,4,4,4,6,4,6,6,6,6,6,4,6,6,5,5,6,6,0
INT,749,2021-06-21 02:21:34,7,pt-BR,570197993,TPDamCeaTElIfaW,2021-06-21 02:07:40,2021-06-21 02:21:34,Masculino,50,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,"livrarias, reportagens, filmes",5,5,6,2,5,5,6,3,5,5,5,5,6,5,6,6,5,5,3,6,5,2,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,4,5,5,5,4,3,5,6,6,5,5,5,5,5,6,5,0
INT,1058,2021-07-16 16:22:08,7,pt-BR,1237147972,Kke3xgkJ2bjm6YL,2021-07-16 16:11:28,2021-07-16 16:22:08,Feminino,55,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"GAP,  INSTITUTO ARTE NA ESCOLA",5,5,6,6,3,3,4,3,4,4,3,7,2,6,7,7,4,2,2,1,2,6,7,4,7,7,6,5,7,2,7,4,4,4,3,7,4,4,4,7,7,7,7,7,6,7,7,7,6,6,6,7,6,1
INT,224,2021-06-18 20:51:26,7,pt-BR,1954184413,aOzw8b6ZFOJRTFc,2021-06-18 20:43:03,2021-06-18 20:51:26,Feminino,43,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,PINACOTECA DE SÃO PAULO,5,5,7,3,5,4,7,4,5,6,4,7,7,6,5,7,6,5,1,1,1,1,5,5,7,7,7,7,7,5,7,6,4,5,5,7,5,7,4,7,4,7,7,7,7,7,6,7,5,7,7,7,7,1
INT,493,2021-06-20 11:34:32,7,pt-BR,1328223059,WzNljI8i9PsckEg,2021-06-20 11:18:29,2021-06-20 11:34:32,Masculino,26,Acima de 3 e até 5 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Sim,Não,Sim,Museu do amanhã,5,6,3,1,6,6,6,4,1,1,5,5,3,3,3,5,2,2,2,2,2,3,1,3,3,3,3,4,4,3,4,4,3,4,2,3,3,4,2,5,3,5,5,6,6,5,7,5,6,7,6,6,6,4
INT,746,2021-06-21 01:42:06,7,pt-BR,832223788,aMBAC8fBz3kA4JQ,2021-06-21 01:33:21,2021-06-21 01:42:06,Masculino,18,Acima de 5 e até 10 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Sim,Sim,Sim,@antofagica,5,6,3,2,7,5,7,2,6,7,7,7,4,6,1,4,4,7,2,6,2,1,4,3,5,1,2,7,7,3,7,4,2,4,6,5,2,4,5,7,1,7,7,7,7,7,5,6,7,6,7,7,7,1
INT,29,2021-04-13 17:51:14,7,pt-BR,418064946,r6Fr9MzjCNDgWaB,2021-04-13 17:38:50,2021-04-13 17:51:14,Feminino,35,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Sim,Não,Não,Sim,Centro Cultural Eliziário Rangel,5,6,5,1,5,6,5,5,5,5,5,7,6,6,4,6,6,6,1,1,1,1,2,1,5,4,5,4,5,4,3,1,5,1,5,5,2,6,3,6,3,6,6,7,5,7,5,5,6,5,7,5,7,3
INT,140,2021-06-18 12:19:17,7,pt-BR,456470199,2zLwSeU4K26r0qD,2021-06-18 12:09:14,2021-06-18 12:19:17,Feminino,30,Acima de 5 e até 10 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"@9gag, scientists.br, ciencia.brasileira, brasilemmapas, @pesquisa_fapesp, @geopizza, @nasa, @meioambientees",5,6,5,3,6,5,6,4,4,4,4,7,7,6,7,6,7,6,1,1,1,3,4,4,6,4,5,4,4,4,6,6,6,4,4,6,3,4,5,6,4,4,5,6,6,6,5,5,5,5,5,5,5,1
EXT,45,2021-05-14 09:45:40,7,pt-BR,146302382,2021-05-14 09:38:30,2021-05-14 09:45:40,,,39,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Pinacoteca,5,6,5,5,4,6,5,6,4,4,4,6,4,4,5,5,4,4,2,2,2,2,4,3,6,3,6,6,3,3,5,4,5,4,4,5,3,4,5,6,4,6,4,4,4,4,3,5,4,5,5,5,3,0
EXT,35,2021-05-14 07:20:49,7,pt-BR,1962670404,2021-05-14 07:13:02,2021-05-14 07:20:49,,,40,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Gaeu e teatro,5,6,5,6,5,4,5,7,7,7,7,7,4,4,7,7,7,4,1,2,2,2,4,4,6,7,6,7,7,2,7,7,7,6,3,7,7,7,5,7,7,7,7,7,7,7,7,7,7,4,7,7,7,1
INT,706,2021-06-20 22:01:23,7,pt-BR,2030646661,28599yu9SVKyZor,2021-06-20 21:44:03,2021-06-20 22:01:23,Masculino,35,Acima de 20 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"Casa Cor Espírito Santo, Casa Cor Oficial, @staelmagesckcentroartistico",5,6,6,1,5,6,5,3,4,4,4,7,7,7,7,7,6,4,1,1,1,1,2,2,4,7,6,6,1,3,4,5,5,7,7,6,2,7,4,7,6,7,7,7,7,7,7,6,7,6,7,7,7,1
EXT,113,2021-05-19 00:35:30,7,pt-BR,501493518,2021-05-19 00:25:44,2021-05-19 00:35:30,,Feminino,44,Até 1 salário mínimo,Ensino Superior,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,Theatro Municipal de São Paulo,5,6,6,2,6,6,7,1,6,1,1,6,5,2,3,7,3,5,1,1,1,1,5,1,3,6,2,6,6,1,6,4,2,2,4,2,3,7,1,4,5,7,7,7,7,7,7,7,7,7,7,7,7,3
INT,331,2021-06-19 17:00:50,7,pt-BR,1978689074,ASpZ98XlT8yktp6,2021-06-19 16:52:24,2021-06-19 17:00:50,Feminino,23,Acima de 15 e até 20 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Sim,Não,Sim,Teatro Universitário da Ufes,5,6,6,3,7,5,6,6,6,5,2,7,7,5,7,7,4,7,1,6,1,1,1,1,7,5,5,7,7,5,1,1,5,6,3,7,3,7,6,7,5,6,7,7,7,7,5,6,6,6,7,6,7,1
INT,97,2021-04-18 16:34:43,7,pt-BR,1200061017,iDNM43epUaL7hnb,2021-04-18 16:26:13,2021-04-18 16:34:43,Masculino,37,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Sim,Não,Não,Sim,mcv.ufes,5,6,6,3,7,5,6,6,7,6,7,7,5,3,2,7,5,5,5,1,1,3,5,5,6,6,5,7,7,5,6,5,3,7,6,7,3,7,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,1
INT,913,2021-06-21 17:56:07,7,pt-BR,2107064075,aYlXU2xtWo7aTLY,2021-06-21 17:46:19,2021-06-21 17:56:07,Masculino,33,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"@capixabadagema, @belezascapixabas",5,6,6,4,5,5,5,4,3,6,6,7,3,6,6,7,6,7,1,4,2,2,4,1,4,7,6,2,3,1,4,6,4,6,4,7,1,4,4,5,2,5,5,4,1,1,4,5,1,7,1,1,5,2
INT,788,2021-06-21 09:05:30,7,pt-BR,403974547,sP6yJxHfVWo6sZi,2021-06-21 08:59:00,2021-06-21 09:05:30,Feminino,37,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Cine Jardins,5,6,6,6,5,5,7,4,6,5,6,7,7,6,6,7,5,7,4,6,3,5,4,3,4,5,5,5,5,6,5,5,5,4,5,5,4,5,3,6,6,7,6,5,6,6,4,5,5,5,5,4,6,0
INT,80,2021-04-15 00:39:27,7,pt-BR,1702738486,b8n2mzENHw8U03s,2021-04-15 00:30:52,2021-04-15 00:39:27,Masculino,55,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Sim,Não,Sim,Instituto Hesed,5,6,6,6,5,6,5,6,5,5,5,6,6,6,4,5,6,6,6,5,6,6,5,5,5,6,6,6,6,5,6,5,5,6,5,6,5,5,5,6,5,6,6,6,7,5,5,6,6,6,6,5,6,0
INT,6,2021-04-13 16:12:11,7,pt-BR,1554287732,x93bWWMAQ8odWxk,2021-04-13 16:04:59,2021-04-13 16:12:11,Masculino,35,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@muses.ufes,5,6,6,6,6,6,6,6,4,4,5,7,7,7,7,7,7,2,1,1,2,2,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,1
EXT,79,2021-05-15 19:41:17,7,pt-BR,1916179473,2021-05-15 19:34:41,2021-05-15 19:41:17,,Feminino,26,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Biblioteca municipal Sinhá Junqueira (Ribeirão Preto),5,6,7,1,5,6,6,6,5,5,1,7,6,6,5,6,6,6,5,1,1,5,5,4,7,6,5,7,5,5,7,4,6,5,6,7,5,7,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,838,2021-06-21 11:08:42,7,pt-BR,2120631792,D2u0H7WFeN80nk1,2021-06-21 10:56:50,2021-06-21 11:08:42,,18,Acima de 15 e até 20 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@popcultureangel,5,6,7,3,4,5,7,5,4,3,3,7,7,7,5,3,2,7,1,1,1,1,7,4,5,7,7,7,7,4,6,7,7,7,7,7,6,7,4,7,7,7,7,5,7,5,6,7,7,5,6,7,5,1
INT,126,2021-05-15 15:29:54,7,pt-BR,633226823,zLP4AREU58Mi8MF,2021-05-15 15:22:25,2021-05-15 15:29:54,Feminino,52,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"@museodoprado, @museelouvre, @CCBB",5,6,7,6,7,6,6,4,5,5,4,5,4,4,4,5,4,6,4,1,1,1,4,4,4,4,6,4,4,4,4,6,7,4,4,5,4,4,4,4,5,4,4,7,7,7,7,5,7,4,7,7,7,1
EXT,199,2021-06-05 09:47:36,7,pt-BR,1608661009,2021-06-05 09:36:49,2021-06-05 09:47:36,,Feminino,36,Acima de 10 e até 15 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@gaeu.ufes,5,6,7,7,6,6,6,7,7,5,6,7,7,7,7,7,6,6,2,2,1,4,6,6,5,5,5,6,5,7,7,7,5,5,6,4,7,7,7,7,7,7,7,7,6,6,5,7,7,5,5,6,6,0
EXT,166,2021-05-21 21:27:18,7,pt-BR,718767344,2021-05-21 21:18:24,2021-05-21 21:27:18,,,33,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Mosaico Fotogaleria,5,7,5,1,5,6,6,5,5,6,6,7,4,6,5,4,5,7,1,1,1,1,5,3,5,6,7,7,6,4,6,4,6,5,3,7,4,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,640,2021-06-20 18:34:43,7,pt-BR,1272376853,leoY2m92g5Z8WQX,2021-06-20 18:25:21,2021-06-20 18:34:43,Feminino,26,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,https://instagram.com/edu.terapias?utm_medium=copy_link,5,7,5,2,7,5,5,5,4,5,4,6,4,6,7,5,1,4,4,1,5,4,5,2,2,5,4,5,5,5,5,5,5,7,6,6,4,4,5,6,3,4,4,1,5,3,1,2,7,4,1,6,1,0
INT,314,2021-06-19 15:18:59,7,pt-BR,81327870,qKQUaqSSytPDKmF,2021-06-19 15:12:58,2021-06-19 15:18:59,Feminino,23,Acima de 5 e até 10 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,"GAEU, GAP, MAES...",5,7,5,4,6,6,6,5,5,4,5,5,5,6,3,7,6,5,2,3,2,6,3,5,5,5,5,6,5,3,6,6,6,4,5,6,4,6,4,5,4,6,6,7,6,7,6,7,7,5,7,6,7,1
INT,408,2021-06-20 00:18:52,7,pt-BR,1384957194,csjFci4cGVZhMbo,2021-06-20 00:12:48,2021-06-20 00:18:52,Feminino,18,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,5,7,5,4,7,7,6,7,7,6,7,7,7,7,6,7,5,7,2,6,2,2,5,5,7,7,7,7,5,5,5,5,7,6,7,7,5,6,5,7,4,7,7,7,7,7,6,7,7,6,6,7,7,1
INT,523,2021-06-20 12:34:33,7,pt-BR,801701199,fwoAzfwygyB3DQp,2021-06-20 12:26:12,2021-06-20 12:34:33,Feminino,20,Acima de 5 e até 10 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,,5,7,6,3,5,4,7,1,2,4,4,6,6,7,6,7,7,5,1,1,1,1,1,1,1,1,1,1,6,2,2,4,5,6,5,5,1,3,3,6,1,7,7,7,7,7,5,4,5,6,6,7,7,3
INT,352,2021-06-19 18:58:29,7,pt-BR,863198852,T25IeHDWU4aYSNs,2021-06-19 18:52:05,2021-06-19 18:58:29,Feminino,28,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Centro Cultural Banco do Brasil (CCBB-BH),5,7,6,4,6,6,6,3,3,2,2,7,6,6,7,7,6,6,2,2,2,1,1,1,6,5,4,5,2,1,3,6,2,6,3,7,1,6,1,6,4,6,7,7,5,5,4,4,5,4,5,4,5,3
INT,952,2021-06-22 09:42:26,7,pt-BR,1314613219,anXpImogZfpcSil,2021-06-22 09:34:30,2021-06-22 09:42:26,Masculino,39,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,https://www.instagram.com/cineclubemetropolis/,5,7,6,6,3,6,7,6,4,7,3,6,5,3,7,1,5,3,6,1,1,3,6,3,5,3,4,5,6,3,6,6,5,5,6,6,3,6,3,7,6,7,7,6,6,6,4,6,5,6,7,5,4,0
INT,916,2021-06-21 18:21:47,7,pt-BR,1036689956,OAmGi5BseR3zcDs,2021-06-21 18:01:56,2021-06-21 18:21:47,Feminino,18,Até 1 salário mínimo,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,5,7,6,6,7,7,7,1,4,4,5,7,6,6,7,5,5,4,1,1,1,4,6,2,7,5,5,7,6,4,4,7,6,5,5,6,3,5,2,7,1,7,7,6,5,6,4,4,6,5,5,6,7,1
INT,963,2021-06-22 11:30:47,7,pt-BR,576012031,DwSAeCeWPewijdU,2021-06-22 11:23:00,2021-06-22 11:30:47,Feminino,45,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Fundação Biblioteca Nacional,5,7,7,1,1,5,7,1,1,1,1,7,4,7,7,7,7,7,1,1,1,4,4,4,5,4,4,7,7,4,7,7,5,1,1,2,7,7,4,7,7,7,7,7,5,7,4,7,7,7,7,5,7,1
INT,926,2021-06-21 20:06:24,7,pt-BR,976974903,JGfsKSAcedpLaxU,2021-06-21 19:55:30,2021-06-21 20:06:24,,19,Até 1 salário mínimo,Ensino Médio,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,Sebo Ponto de Cultura,5,7,7,2,6,6,7,6,6,6,5,7,7,5,7,7,5,7,1,4,1,2,4,6,6,7,7,7,7,5,6,7,7,7,7,7,6,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,1
INT,771,2021-06-21 08:10:06,7,pt-BR,151117096,dcmDTonh4ktJ5ly,2021-06-21 08:01:05,2021-06-21 08:10:06,Feminino,21,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Grupo gota, pó e poeira. Cia Homônimos perfeitos. Festival de teatro de Guaçui",5,7,7,4,5,5,7,7,6,4,7,7,7,7,7,7,7,7,5,1,1,1,5,5,4,5,6,7,5,6,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,1
EXT,147,2021-05-21 13:33:26,7,pt-BR,222135080,2021-05-21 13:08:55,2021-05-21 13:33:26,,Feminino,33,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Parede Galeria, ArtMotive Brasil, Lurix Arte Contemporânea, Kura Arte, Canal Curta, Improviso Coletivo, OSESP, Theatro Municipal de São Paulo, Galeria Nara Roesler, p.art.ilha, Soma Flamenco, Cia Deborah Colker, Sesc Glória, Flip-se, Galeria Homero Massena, Arte que acontece, galeria Inox, Camerata Sesi, Orquestra Sinfônica do ES, Instituto Tunga, Kroller-Muller Museum, Centre Pompidou, Tate, Inhotim, Guggenheim, MoMa, Oá Galeria, Matias Brotas, Prix de Lausanne, Classical Music Extracts. Além de alguns ateliês, artistas e escolas de dança, música e teatro.",5,7,7,5,5,6,7,4,4,7,4,7,7,7,7,7,7,7,3,1,1,2,7,4,7,7,7,7,7,4,4,7,7,7,7,7,7,7,6,7,5,7,7,7,7,5,7,5,7,5,7,7,6,1
INT,600,2021-06-20 16:16:51,7,pt-BR,1788147536,kuWKPkFH2gN3nBm,2021-06-20 16:10:28,2021-06-20 16:16:51,Feminino,20,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,"AtleticaEDF, D.A CEFD 26 de junho",5,7,7,5,7,7,7,1,6,4,4,7,7,7,3,7,7,7,1,1,1,1,1,3,1,4,3,7,4,2,7,2,7,1,5,7,4,3,4,7,7,7,7,7,7,7,6,7,5,7,7,5,7,1
INT,759,2021-06-21 07:33:52,7,pt-BR,863847686,6YefR0qs94oQEK5,2021-06-21 07:21:35,2021-06-21 07:33:52,Feminino,18,Acima de 1 e até 3 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,6,3,4,3,4,4,2,6,5,4,5,4,3,6,6,6,5,3,1,5,2,1,2,4,4,4,1,2,4,1,3,5,5,5,5,4,1,4,1,2,2,4,5,5,6,5,4,3,5,4,4,5,6,2
INT,798,2021-06-21 09:36:18,7,pt-BR,1933473651,b6ZE2uBrYglWb2t,2021-06-21 09:28:16,2021-06-21 09:36:17,Masculino,39,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Masp,6,5,4,1,7,7,7,1,1,1,1,6,6,7,6,6,7,7,1,1,2,1,2,2,7,4,6,5,4,3,4,2,6,3,3,5,4,7,5,5,2,5,7,7,5,6,5,6,6,5,6,5,7,1
INT,984,2021-06-22 18:16:13,7,pt-BR,84901039,foLKtCGudVRDrGB,2021-06-22 18:02:00,2021-06-22 18:16:13,Feminino,29,Acima de 3 e até 5 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"INMA, História da Arte Online, cinema com crítica",6,5,5,1,7,3,6,1,1,1,1,7,5,4,6,5,6,7,1,1,2,1,6,1,7,4,3,6,5,4,6,6,7,4,7,6,4,7,2,6,5,7,7,7,7,7,5,4,6,6,5,6,5,1
INT,124,2021-05-15 07:43:33,7,pt-BR,1234765181,QuWcv3Fys1TaOAW,2021-05-15 07:35:49,2021-05-15 07:43:33,Masculino,45,Acima de 5 e até 10 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"SESC Glória, MASP, GAP UFES",6,5,5,3,3,5,6,3,5,1,5,7,7,5,5,7,6,5,2,5,2,4,3,3,6,5,5,4,5,5,6,6,6,4,4,6,4,4,4,4,3,4,4,7,7,6,4,6,7,7,7,6,6,1
